combo_id,dataset,method,dataset_seed,method_seed,equality_dispersion_ratio_threshold,lambda_activation_consensus,lambda_ineq_constraint,lambda_param_consensus,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
23,S3ObsAvoid,swcl,125949,0,0.1,0.5,0.005,30,-0.25,0.003,10.666666666666666,0.009971971163266691,0.004015794573867231,0.16127757781071678
24,S3ObsAvoid,swcl,125949,0,0.15,0.5,0.005,30,-0.25,0.003,13.166666666666666,0.010065952959344943,0.00410349417757749,0.167590888160207
25,S3ObsAvoid,swcl,125949,0,0.03,0.5,0.005,60,-0.25,0.003,4.166666666666667,0.005547975529375066,0.0028769184370501175,0.18193815378589318
26,S3ObsAvoid,swcl,125949,0,0.05,0.5,0.005,60,-0.25,0.003,11.833333333333334,0.0031796038547767425,0.0016310166863298392,0.5681210271623657
27,S3ObsAvoid,swcl,125949,0,0.075,0.5,0.005,60,-0.25,0.003,10.666666666666666,0.005366546081751917,0.004164086489873431,0.42442099628853375
28,S3ObsAvoid,swcl,125949,0,0.1,0.5,0.005,60,-0.25,0.003,8.333333333333334,0.0070271234329535425,0.0036342576652287715,0.1612523544653068
29,S3ObsAvoid,swcl,125949,0,0.15,0.5,0.005,60,-0.25,0.003,13.166666666666666,0.010065952959344943,0.00410349417757749,0.167590888160207
30,S3ObsAvoid,swcl,125949,0,0.03,0.75,0.005,10,-0.25,0.003,2.6666666666666665,0.0056365609081939095,0.0028984770843376636,0.12291721754530803
31,S3ObsAvoid,swcl,125949,0,0.05,0.75,0.005,10,-0.25,0.003,2.8333333333333335,0.005547975529375066,0.0028769184370501175,0.1496842969215639
32,S3ObsAvoid,swcl,125949,0,0.075,0.75,0.005,10,-0.25,0.003,8.166666666666666,0.005695496151321976,0.0033761282375679123,0.2518701708670801
33,S3ObsAvoid,swcl,125949,0,0.1,0.75,0.005,10,-0.25,0.003,12.833333333333334,0.15520799679546923,0.037851345241309585,0.854994466709205
34,S3ObsAvoid,swcl,125949,0,0.15,0.75,0.005,10,-0.25,0.003,6.333333333333333,0.009971971163266705,0.004015794573867235,0.16559260480323088
35,S3ObsAvoid,swcl,125949,0,0.03,0.75,0.005,30,-0.25,0.003,3.1666666666666665,0.005419326009315853,0.0026791138324802136,0.1022322331657292
36,S3ObsAvoid,swcl,125949,0,0.05,0.75,0.005,30,-0.25,0.003,7.166666666666667,0.003350010146697445,0.0016341194169426597,0.16231765728918832
37,S3ObsAvoid,swcl,125949,0,0.075,0.75,0.005,30,-0.25,0.003,8.5,0.005734066326414259,0.003414602353102505,0.2615770727538377
38,S3ObsAvoid,swcl,125949,0,0.1,0.75,0.005,30,-0.25,0.003,11.833333333333334,0.011226540194907755,0.0028221531981911705,0.22506834440048593
39,S3ObsAvoid,swcl,125949,0,0.15,0.75,0.005,30,-0.25,0.003,6.333333333333333,0.009971971163266705,0.004015794573867235,0.16559260480323088
40,S3ObsAvoid,swcl,125949,0,0.03,0.75,0.005,60,-0.25,0.003,4.666666666666667,0.005330740630497008,0.0026575551851926674,0.1770178632789646
41,S3ObsAvoid,swcl,125949,0,0.05,0.75,0.005,60,-0.25,0.003,11.833333333333334,0.0031796038547767425,0.0016310166863298392,0.5681210271623657
42,S3ObsAvoid,swcl,125949,0,0.075,0.75,0.005,60,-0.25,0.003,13.166666666666666,0.00538631002033441,0.00419377094101032,0.43604570219423855
43,S3ObsAvoid,swcl,125949,0,0.1,0.75,0.005,60,-0.25,0.003,7.0,0.005318709466994575,0.003748856568292068,0.16125173384414515
44,S3ObsAvoid,swcl,125949,0,0.15,0.75,0.005,60,-0.25,0.003,12.333333333333334,0.010080588612705745,0.004125476199795983,0.16765470111163944
