mode,metric,value
heuristic,tau_mae,1.0
heuristic,tau_mae,1.0
heuristic,tau_mae,1.5
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,0.5
heuristic,tau_mae,2.3333333333333335
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,2.0833333333333335
heuristic,tau_mae,2.25
heuristic,tau_mae,1.5
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,0.5
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,30.666666666666668
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,1.0
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,2.25
heuristic,tau_mae,2.0
heuristic,tau_mae,1.5833333333333333
heuristic,tau_mae,0.5833333333333334
random,tau_mae,1.9166666666666667
random,tau_mae,26.666666666666668
random,tau_mae,1.4166666666666667
random,tau_mae,6.666666666666667
random,tau_mae,1.5833333333333333
random,tau_mae,26.416666666666668
random,tau_mae,30.666666666666668
random,tau_mae,1.4166666666666667
random,tau_mae,30.666666666666668
random,tau_mae,28.0
random,tau_mae,28.0
random,tau_mae,1.4166666666666667
random,tau_mae,28.0
random,tau_mae,1.4166666666666667
random,tau_mae,26.333333333333332
random,tau_mae,1.4166666666666667
random,tau_mae,1.4166666666666667
random,tau_mae,28.0
random,tau_mae,1.4166666666666667
random,tau_mae,1.4166666666666667
random,tau_mae,1.4166666666666667
random,tau_mae,1.5
random,tau_mae,28.0
random,tau_mae,30.666666666666668
random,tau_mae,1.5833333333333333
true_tau,tau_nmae,0.028380935707616378
true_tau,tau_nmae,0.028380935707616378
true_tau,tau_nmae,0.028380935707616378
heuristic,tau_nmae,0.026885837668400688
heuristic,tau_nmae,0.04376483926904095
heuristic,tau_nmae,0.09229416766706683
heuristic,tau_nmae,0.02011296185140723
heuristic,tau_nmae,0.020078948245965053
heuristic,tau_nmae,0.030014922635720958
heuristic,tau_nmae,0.028380935707616378
heuristic,tau_nmae,0.01020966720021342
heuristic,tau_nmae,0.0470328131252501
heuristic,tau_nmae,0.0286219487795118
heuristic,tau_nmae,0.028380935707616378
heuristic,tau_nmae,0.04213085234093638
heuristic,tau_nmae,0.045398826197145525
heuristic,tau_nmae,0.030014922635720958
heuristic,tau_nmae,0.0286219487795118
heuristic,tau_nmae,0.01020966720021342
heuristic,tau_nmae,0.0286219487795118
heuristic,tau_nmae,0.6197926670668267
heuristic,tau_nmae,0.028380935707616378
heuristic,tau_nmae,0.02018107242897159
heuristic,tau_nmae,0.028380935707616378
heuristic,tau_nmae,0.045398826197145525
heuristic,tau_nmae,0.04043017206882753
heuristic,tau_nmae,0.03195661597972522
heuristic,tau_nmae,0.011876333866880084
random,tau_nmae,0.03848706149126317
random,tau_nmae,0.5389323229291717
random,tau_nmae,0.028380935707616378
random,tau_nmae,0.13452714419100972
random,tau_nmae,0.031751033746832066
random,tau_nmae,0.5337934340402827
random,tau_nmae,0.6197926670668267
random,tau_nmae,0.028380935707616378
random,tau_nmae,0.6197926670668267
random,tau_nmae,0.5658167433640122
random,tau_nmae,0.5658167433640122
random,tau_nmae,0.0286219487795118
random,tau_nmae,0.5658167433640122
random,tau_nmae,0.028380935707616378
random,tau_nmae,0.5321594471121781
random,tau_nmae,0.028380935707616378
random,tau_nmae,0.0286219487795118
random,tau_nmae,0.5658167433640122
random,tau_nmae,0.0286219487795118
random,tau_nmae,0.0286219487795118
random,tau_nmae,0.0286219487795118
random,tau_nmae,0.030014922635720958
random,tau_nmae,0.5658167433640122
random,tau_nmae,0.6197926670668267
random,tau_nmae,0.031751033746832066
true_tau,g1_err,0.024673694429725144
true_tau,g1_err,0.024673694429725144
true_tau,g1_err,0.024673694429725144
heuristic,g1_err,0.10638861021944979
heuristic,g1_err,0.24990383751475032
heuristic,g1_err,0.04576430424092919
heuristic,g1_err,0.0810070960210148
heuristic,g1_err,0.03517802705558055
heuristic,g1_err,0.01993121905338833
heuristic,g1_err,0.02666764334829899
heuristic,g1_err,0.06342995538326511
heuristic,g1_err,0.30013898651896886
heuristic,g1_err,0.10896657934750956
heuristic,g1_err,0.02790875484392525
heuristic,g1_err,0.2557065869805051
heuristic,g1_err,0.2709546155679966
heuristic,g1_err,0.020743900576617208
heuristic,g1_err,0.10617688186171492
heuristic,g1_err,0.07255912919908428
heuristic,g1_err,0.1520505877123195
heuristic,g1_err,0.26421028794765045
heuristic,g1_err,0.028655980635311346
heuristic,g1_err,0.05056400406674028
heuristic,g1_err,0.02640457297182784
heuristic,g1_err,0.2752316557682456
heuristic,g1_err,0.21270052416886123
heuristic,g1_err,0.1875749575481328
heuristic,g1_err,0.06885285004214405
random,g1_err,0.017948451300435823
random,g1_err,1.4028505966021658
random,g1_err,0.025245785100577723
random,g1_err,0.10631624849901049
random,g1_err,0.01954784718366152
random,g1_err,1.368823958768297
random,g1_err,0.9572950933720527
random,g1_err,0.025188330118986538
random,g1_err,0.8190969687152607
random,g1_err,1.5487746255497614
random,g1_err,1.5487746255497614
random,g1_err,0.15877332955015422
random,g1_err,1.5487746255497614
random,g1_err,0.026419203792479806
random,g1_err,1.352180953912707
random,g1_err,0.029575604489219903
random,g1_err,0.15877332955015422
random,g1_err,1.5487746255497614
random,g1_err,0.1286879689536195
random,g1_err,0.15877332955015422
random,g1_err,0.15877332955015422
random,g1_err,0.02051658089669254
random,g1_err,1.5487746255497614
random,g1_err,0.6445248943837733
random,g1_err,0.01954784718366152
true_tau,g2_err,0.04600004174747153
true_tau,g2_err,0.04600004174747153
true_tau,g2_err,0.04600004174747153
heuristic,g2_err,0.049113338643863226
heuristic,g2_err,0.050248583752858754
heuristic,g2_err,0.046009602726714255
heuristic,g2_err,0.048959348893537646
heuristic,g2_err,0.047115382947643815
heuristic,g2_err,0.04590730494129738
heuristic,g2_err,0.046039838487849226
heuristic,g2_err,0.048706550039245795
heuristic,g2_err,0.05059310816968775
heuristic,g2_err,0.04928715482769043
heuristic,g2_err,0.04603875513538663
heuristic,g2_err,0.05023553220227501
heuristic,g2_err,0.050329522858947796
heuristic,g2_err,0.045533845898557114
heuristic,g2_err,0.04926285105846388
heuristic,g2_err,0.04852749328538661
heuristic,g2_err,0.049492710960054344
heuristic,g2_err,0.042181077614246866
heuristic,g2_err,0.046230496640439024
heuristic,g2_err,0.04822717900749707
heuristic,g2_err,0.04606058636641133
heuristic,g2_err,0.0504299568790924
heuristic,g2_err,0.050053804205569374
heuristic,g2_err,0.0498802533071462
heuristic,g2_err,0.048793949634296056
random,g2_err,0.045508729881751434
random,g2_err,0.04391976999439326
random,g2_err,0.046022401068803585
random,g2_err,0.04704528155953067
random,g2_err,0.045754443747379886
random,g2_err,0.04400612146756707
