combo_id,dataset,method,dataset_seed,method_seed,segmenter.duration_weight,segmenter.sticky,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError,PosthocFeatureObjectiveFinal,PosthocObjectiveFinal,SegmentationLogLikelihoodFinal
3,S4SlideInsert,arhsmm,12342,1,10.0,100.0,22.73333333333333,0.05201519657839462,0.037647652154806324,0.45509628335820373,465.52692307160123,465.52692307160123,929.0853759562721
3,S4SlideInsert,arhsmm,12342,2,10.0,100.0,16.366666666666667,0.06721091423126552,0.04853094167678679,0.3323190642211532,-1999999306.3353875,-1999999306.3353875,1067.8988799982021
3,S4SlideInsert,arhsmm,12342,3,10.0,100.0,7.966666666666667,0.11643051076404436,0.08335848197437029,0.14726343166774955,-8500000335.990656,-8500000335.990656,943.0070526586849
3,S4SlideInsert,arhsmm,12342,4,10.0,100.0,19.499999999999996,0.11411641401877996,0.06930272179098221,0.368627281536867,701.0049056040318,701.0049056040318,1030.0863072869747
4,S4SlideInsert,arhsmm,12342,0,100.0,100.0,9.666666666666668,0.01947899029196249,0.005307518241165318,0.2249054563820426,-7499999212.782211,-7499999212.782211,192.0560441085143
4,S4SlideInsert,arhsmm,12342,1,100.0,100.0,23.433333333333334,0.053122641391531514,0.03941084494433713,0.4607917627629714,-5249999645.1720705,-5249999645.1720705,91.81709625678806
4,S4SlideInsert,arhsmm,12342,2,100.0,100.0,18.166666666666664,0.04986099970987604,0.0370218012648082,0.3530393814582845,-1499999330.1559079,-1499999330.1559079,196.3744824949366
4,S4SlideInsert,arhsmm,12342,3,100.0,100.0,8.26666666666667,0.1208075297197116,0.08441450713323087,0.1410266954198165,-10500000376.273335,-10500000376.273335,133.78608326285436
4,S4SlideInsert,arhsmm,12342,4,100.0,100.0,19.199999999999996,0.11427069512139283,0.06934688687939362,0.3648524998711934,-4999999295.9744835,-4999999295.9744835,246.39939383529526
5,S4SlideInsert,arhsmm,12342,0,400.0,100.0,10.1,0.02871964009225487,0.014414312974655416,0.23344666631922323,-6749999376.965701,-6749999376.965701,-2382.7034774816007
5,S4SlideInsert,arhsmm,12342,1,400.0,100.0,23.53333333333333,0.05284749403486154,0.03932750716575137,0.45952004994344514,-5249999685.467593,-5249999685.467593,-2410.9280764376404
5,S4SlideInsert,arhsmm,12342,2,400.0,100.0,18.633333333333333,0.049702880050837846,0.0369991923002396,0.3593037511318773,-1499999392.3800504,-1499999392.3800504,-2312.5548390051695
5,S4SlideInsert,arhsmm,12342,3,400.0,100.0,8.433333333333334,0.11768212227048454,0.08321996327513136,0.14252188090431406,-9250000312.746374,-9250000312.746374,-2373.8225550428347
5,S4SlideInsert,arhsmm,12342,4,400.0,100.0,21.7,0.11544198030712956,0.06968067507007315,0.38925254555404437,-3749999427.956256,-3749999427.956256,-2384.5422789798454
6,S4SlideInsert,arhsmm,12342,0,10.0,400.0,7.7666666666666675,0.01946036579160303,0.005301520166361996,0.20749058649324414,1023.670061780502,1023.670061780502,1126.5319307143286
6,S4SlideInsert,arhsmm,12342,1,10.0,400.0,22.73333333333333,0.05201519657839462,0.037647652154806324,0.45509628335820373,465.52692307160123,465.52692307160123,927.6060225212602
6,S4SlideInsert,arhsmm,12342,2,10.0,400.0,16.3,0.06758095128324906,0.04863601111779055,0.33207732563236786,-1999999300.990429,-1999999300.990429,1066.471467027435
6,S4SlideInsert,arhsmm,12342,3,10.0,400.0,7.966666666666667,0.11643051076404436,0.08335848197437029,0.14726343166774955,-8500000335.990656,-8500000335.990656,941.7023466260189
6,S4SlideInsert,arhsmm,12342,4,10.0,400.0,19.499999999999996,0.11411641401877996,0.06930272179098221,0.368627281536867,701.0049056040318,701.0049056040318,1029.056438680263
7,S4SlideInsert,arhsmm,12342,0,100.0,400.0,9.666666666666668,0.01947899029196249,0.005307518241165318,0.2249054563820426,-7499999212.782211,-7499999212.782211,191.1275464067477
7,S4SlideInsert,arhsmm,12342,1,100.0,400.0,23.433333333333334,0.053122641391531514,0.03941084494433713,0.4607917627629714,-5249999645.1720705,-5249999645.1720705,90.11646969972145
7,S4SlideInsert,arhsmm,12342,2,100.0,400.0,18.166666666666664,0.04986099970987604,0.0370218012648082,0.3530393814582845,-1499999330.1559079,-1499999330.1559079,195.25525462508693
7,S4SlideInsert,arhsmm,12342,3,100.0,400.0,8.26666666666667,0.1208075297197116,0.08441450713323087,0.1410266954198165,-10500000376.273335,-10500000376.273335,132.41609667392427
7,S4SlideInsert,arhsmm,12342,4,100.0,400.0,19.199999999999996,0.11427069512139283,0.06934688687939362,0.3648524998711934,-4999999295.9744835,-4999999295.9744835,245.44112579317385
8,S4SlideInsert,arhsmm,12342,0,400.0,400.0,10.1,0.02871964009225487,0.014414312974655416,0.23344666631922323,-6749999376.965701,-6749999376.965701,-2383.6308817014215
8,S4SlideInsert,arhsmm,12342,1,400.0,400.0,23.53333333333333,0.05284749403486154,0.03932750716575137,0.45952004994344514,-5249999685.467593,-5249999685.467593,-2412.623709432805
8,S4SlideInsert,arhsmm,12342,2,400.0,400.0,18.633333333333333,0.049702880050837846,0.0369991923002396,0.3593037511318773,-1499999392.3800504,-1499999392.3800504,-2313.677331584863
8,S4SlideInsert,arhsmm,12342,3,400.0,400.0,8.433333333333334,0.11768212227048454,0.08321996327513136,0.14252188090431406,-9250000312.746374,-9250000312.746374,-2375.1884832865426
8,S4SlideInsert,arhsmm,12342,4,400.0,400.0,21.7,0.11544198030712956,0.06968067507007315,0.38925254555404437,-3749999427.956256,-3749999427.956256,-2385.5732488854637
